ppmOrdering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,ppmRepShift,1M-ppmDemShift,totalBallots,locality
 444854, 448602, 535656, 464344, 444854, 519468, 480532,   3748, 983812, 555173,PontiacPrecinct15
 445732, 449461, 534778, 465222, 445732, 518571, 481429,   3729, 983793, 553852,PontiacPrecinct14
 446256, 449990, 534254, 465746, 446256, 518064, 481936,   3734, 983810, 552956,PontiacPrecinct13
 446739, 450446, 533804, 466196, 446739, 517606, 482394,   3707, 983802, 551695,PontiacPrecinct12
 447113, 450784, 533470, 466530, 447113, 517240, 482760,   3671, 983770, 550460,PontiacPrecinct11
 447605, 451218, 533037, 466963, 447605, 516785, 483215,   3613, 983748, 548785,PontiacPrecinct10
 447686, 451278, 532973, 467027, 447686, 516712, 483288,   3592, 983739, 548493,PontiacPrecinct9
 448059, 451628, 532615, 467385, 448059, 516360, 483640,   3569, 983745, 547776,PontiacPrecinct8
 448383, 451888, 532367, 467633, 448383, 516102, 483898,   3505, 983735, 546641,PontiacPrecinct7
 448580, 452076, 532178, 467822, 448580, 515921, 484079,   3496, 983743, 546178,PontiacPrecinct6
 449292, 452787, 531480, 468520, 449292, 515234, 484766,   3495, 983754, 544964,PontiacPrecinct5
 449787, 453247, 531020, 468980, 449787, 514740, 485260,   3460, 983720, 543919,PontiacPrecinct4
 450139, 453566, 530707, 469293, 450139, 514413, 485587,   3427, 983706, 542787,PontiacPrecinct3
 450949, 454366, 529906, 470094, 450949, 513587, 486413,   3417, 983681, 541497,PontiacPrecinct2
 451566, 454963, 529301, 470699, 451566, 512979, 487021,   3397, 983678, 540478,PontiacPrecinct1
 452656, 456051, 528199, 471801, 452656, 511862, 488138,   3395, 983663, 539018,PleasantRidgePrecinct1
 453217, 456713, 527539, 472461, 453217, 511238, 488762,   3496, 983699, 535279,OakParkPrecinct16
 453617, 457060, 527201, 472799, 453617, 510856, 489144,   3443, 983655, 536994,OrchardLakePrecinct1
 453784, 457291, 526978, 473022, 453784, 510697, 489303,   3507, 983719, 534075,OakParkPrecinct15
 454439, 457936, 526327, 473673, 454439, 510058, 489942,   3497, 983731, 533039,OakParkPrecinct14
 455025, 458510, 525755, 474245, 455025, 509467, 490533,   3485, 983712, 531981,OakParkPrecinct13
 455945, 459434, 524812, 475188, 455945, 508529, 491471,   3489, 983717, 530750,OakParkPrecinct12
 456873, 460358, 523893, 476107, 456873, 507577, 492423,   3485, 983684, 529442,OakParkPrecinct11
 457451, 460900, 523344, 476656, 457451, 507008, 492992,   3449, 983664, 528465,OakParkPrecinct10
 458475, 461908, 522321, 477679, 458475, 505961, 494039,   3433, 983640, 527143,OakParkPrecinct9
 459375, 462790, 521427, 478573, 459375, 505037, 494963,   3415, 983610, 525981,OakParkPrecinct8
 460328, 463727, 520473, 479527, 460328, 504048, 495952,   3399, 983575, 524791,OakParkPrecinct7
 461199, 464606, 519580, 480420, 461199, 503154, 496846,   3407, 983574, 523630,OakParkPrecinct6
 461766, 465132, 519033, 480967, 461766, 502577, 497423,   3366, 983544, 522481,OakParkPrecinct5
 462332, 465700, 518475, 481525, 462332, 502019, 497981,   3368, 983544, 521689,OakParkPrecinct4
 462461, 465743, 518421, 481579, 462461, 501886, 498114,   3282, 983465, 520729,OakParkPrecinct3
 462747, 465961, 518187, 481813, 462747, 501585, 498415,   3214, 983398, 519337,OakParkPrecinct2
 462937, 466050, 518092, 481908, 462937, 501422, 498578,   3113, 983330, 518070,OakParkPrecinct1
 462991, 466349, 517778, 482222, 462991, 501268, 498732,   3358, 983490, 513413,NoviPrecinct22
 463003, 466286, 517846, 482154, 463003, 501301, 498699,   3283, 983455, 514726,NoviPrecinct23
 463096, 467066, 517018, 482982, 463096, 500955, 499045,   3970, 983937, 503498,NoviPrecinct15
 463118, 466281, 517858, 482142, 463118, 501239, 498761,   3163, 983381, 516280,NoviPrecinct24
 463141, 466958, 517133, 482867, 463141, 500959, 499041,   3817, 983826, 505075,NoviPrecinct16
 463190, 466509, 517620, 482380, 463190, 501104, 498896,   3319, 983484, 512215,NoviPrecinct21
 463202, 466910, 517180, 482820, 463202, 500939, 499061,   3708, 983759, 506446,NoviPrecinct17
 463221, 466734, 517373, 482627, 463221, 501006, 498994,   3513, 983633, 509694,NoviPrecinct19
 463265, 466720, 517395, 482605, 463265, 500990, 499010,   3455, 983595, 510698,NoviPrecinct20
 463271, 466873, 517216, 482784, 463271, 500909, 499091,   3602, 983693, 508056,NoviPrecinct18
 463289, 467289, 516783, 483217, 463289, 500754, 499246,   4000, 983971, 502170,NoviPrecinct14
 463361, 466460, 517683, 482317, 463361, 501009, 498991,   3099, 983326, 517264,NoviPrecinct25
 463493, 467487, 516581, 483419, 463493, 500550, 499450,   3994, 983969, 501224,NoviPrecinct13
 463586, 467607, 516458, 483542, 463586, 500463, 499537,   4021, 984005, 499637,NoviPrecinct12
 464180, 468170, 515895, 484105, 464180, 499905, 500095,   3990, 984010, 498254,NoviPrecinct11
 464408, 468454, 515595, 484405, 464408, 499654, 500346,   4046, 984059, 495807,NoviPrecinct9
 464460, 468433, 515631, 484369, 464460, 499633, 500367,   3973, 984002, 496882,NoviPrecinct10
 464532, 468606, 515431, 484569, 464532, 499500, 500500,   4074, 984069, 494366,NoviPrecinct8
 464575, 468723, 515294, 484706, 464575, 499418, 500582,   4148, 984124, 492809,NoviPrecinct7
 464913, 469042, 514971, 485029, 464913, 499088, 500912,   4129, 984117, 491324,NoviPrecinct6
 465191, 469373, 514622, 485378, 465191, 498785, 501215,   4182, 984163, 489687,NoviPrecinct5
 465376, 469614, 514385, 485615, 465376, 498600, 501400,   4238, 984215, 488377,NoviPrecinct4
 465665, 469934, 514054, 485946, 465665, 498278, 501722,   4269, 984224, 486742,NoviPrecinct3
 465886, 470160, 513825, 486175, 465886, 498033, 501967,   4274, 984208, 485305,NoviPrecinct2
 465995, 470664, 513307, 486693, 465995, 497793, 502207,   4669, 984486, 479412,MadisonHeightsPrecinct11
 466057, 470448, 513528, 486472, 466057, 497834, 502166,   4391, 984306, 483303,NoviPrecinct1
 466067, 470545, 513423, 486577, 466067, 497780, 502220,   4478, 984357, 481696,NorthvillePrecinct2
 466553, 471109, 512881, 487119, 466553, 497372, 502628,   4556, 984491, 477602,MadisonHeightsPrecinct10
