ppmOrdering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,ppmRepShift,1M-ppmDemShift,totalBallots,locality
 416676, 420155, 564381, 435619, 416676, 548776, 451224,   3479, 984395, 708818,SouthfieldPrecinct36
 416760, 420229, 564316, 435684, 416760, 548683, 451317,   3469, 984367, 710141,SylvanLakePrecinct1
 416798, 420241, 564312, 435688, 416798, 548662, 451338,   3443, 984350, 711315,TroyPrecinct1
 416939, 420326, 564245, 435755, 416939, 548540, 451460,   3387, 984295, 713212,TroyPrecinct2
 417076, 420539, 563997, 436003, 417076, 548372, 451628,   3463, 984375, 707798,SouthfieldPrecinct35
 417202, 420572, 564011, 435989, 417202, 548304, 451696,   3370, 984293, 715001,TroyPrecinct3
 417276, 420587, 564000, 436000, 417276, 548223, 451777,   3311, 984223, 717406,TroyPrecinct4
 417542, 421002, 563523, 436477, 417542, 547899, 452101,   3460, 984376, 706810,SouthfieldPrecinct34
 417563, 420803, 563779, 436221, 417563, 547964, 452036,   3240, 984185, 718703,TroyPrecinct5
 417618, 420843, 563739, 436261, 417618, 547916, 452084,   3225, 984177, 719166,TroyPrecinct6
 417661, 420785, 563826, 436174, 417661, 547919, 452081,   3124, 984093, 722080,TroyPrecinct8
 417712, 420855, 563743, 436257, 417712, 547850, 452150,   3143, 984107, 720618,TroyPrecinct7
 417857, 421296, 563214, 436786, 417857, 547591, 452409,   3439, 984377, 705752,SouthfieldPrecinct33
 417883, 421009, 563608, 436392, 417883, 547701, 452299,   3126, 984093, 724017,TroyPrecinct9
 417966, 421052, 563574, 436426, 417966, 547646, 452354,   3086, 984072, 725798,TroyPrecinct10
 418102, 421135, 563506, 436494, 418102, 547544, 452456,   3033, 984038, 727417,TroyPrecinct11
 418209, 421202, 563441, 436559, 418209, 547448, 452552,   2993, 984007, 728675,TroyPrecinct12
 418275, 421176, 563465, 436535, 418275, 547425, 452575,   2901, 983960, 731038,TroyPrecinct13
 418428, 421276, 563374, 436626, 418428, 547315, 452685,   2848, 983941, 732795,TroyPrecinct14
 418453, 421251, 563400, 436600, 418453, 547303, 452697,   2798, 983903, 734492,TroyPrecinct15
 418489, 421261, 563388, 436612, 418489, 547278, 452722,   2772, 983890, 735920,TroyPrecinct16
 418529, 421210, 563453, 436547, 418529, 547261, 452739,   2681, 983808, 737697,TroyPrecinct17
 418640, 421267, 563391, 436609, 418640, 547168, 452832,   2627, 983777, 739032,TroyPrecinct18
 418654, 422093, 562400, 437600, 418654, 546752, 453248,   3439, 984352, 704245,SouthfieldPrecinct32
 418734, 421261, 563386, 436614, 418734, 547090, 452910,   2527, 983704, 740378,TroyPrecinct19
 418852, 421313, 563341, 436659, 418852, 546984, 453016,   2461, 983643, 742271,TroyPrecinct20
 418870, 421266, 563396, 436604, 418870, 547006, 452994,   2396, 983610, 745851,TroyPrecinct22
 418877, 421315, 563330, 436670, 418877, 546963, 453037,   2438, 983633, 743581,TroyPrecinct21
 418898, 421288, 563391, 436609, 418898, 547000, 453000,   2390, 983609, 748162,TroyPrecinct23
 418963, 421410, 563265, 436735, 418963, 546926, 453074,   2447, 983661, 756409,TroyPrecinct28
 419074, 421421, 563249, 436751, 419074, 546826, 453174,   2347, 983577, 758917,TroyPrecinct30
 419085, 421543, 563117, 436883, 419085, 546791, 453209,   2458, 983674, 755127,TroyPrecinct27
 419086, 421438, 563238, 436762, 419086, 546825, 453175,   2352, 983587, 758436,TroyPrecinct29
 419137, 422568, 561914, 438086, 419137, 546249, 453751,   3431, 984335, 703116,SouthfieldPrecinct31
 419150, 421550, 563119, 436881, 419150, 546762, 453238,   2400, 983643, 750027,TroyPrecinct24
 419154, 421467, 563200, 436800, 419154, 546762, 453238,   2313, 983562, 759648,TroyPrecinct31
 419161, 421607, 563056, 436944, 419161, 546714, 453286,   2446, 983658, 753750,TroyPrecinct26
 419201, 421632, 563025, 436975, 419201, 546701, 453299,   2431, 983676, 751960,TroyPrecinct25
 419229, 421573, 563088, 436912, 419229, 546672, 453328,   2344, 983584, 761046,WalledLakePrecinct1
 419386, 421747, 562926, 437074, 419386, 546513, 453487,   2361, 983587, 762657,WalledLakePrecinct2
 419519, 421883, 562785, 437215, 419519, 546351, 453649,   2364, 983566, 763772,WalledLakePrecinct3
 419777, 423208, 561257, 438743, 419777, 545581, 454419,   3431, 984324, 701765,SouthfieldPrecinct30
 419788, 422121, 562514, 437486, 419788, 546031, 453969,   2333, 983517, 769838,WixomPrecinct3
 419874, 422219, 562453, 437547, 419874, 545995, 454005,   2345, 983542, 766021,WixomPrecinct1
 419925, 422247, 562374, 437626, 419925, 545889, 454111,   2322, 983515, 771991,WixomPrecinct4
 420189, 422498, 562158, 437842, 420189, 545670, 454330,   2309, 983512, 767872,WixomPrecinct2
 420409, 423818, 560630, 439370, 420409, 544918, 455082,   3409, 984288, 700276,SouthfieldPrecinct29
 421222, 424607, 559829, 440171, 421222, 544076, 455924,   3385, 984247, 698547,SouthfieldPrecinct28
 421785, 425170, 559256, 440744, 421785, 543517, 456483,   3385, 984261, 697426,SouthfieldPrecinct27
 422425, 425802, 558615, 441385, 422425, 542859, 457141,   3377, 984244, 696210,SouthfieldPrecinct26
 423022, 426387, 558023, 441977, 423022, 542231, 457769,   3365, 984208, 694797,SouthfieldPrecinct25
 423542, 426885, 557520, 442480, 423542, 541688, 458312,   3343, 984168, 693675,SouthfieldPrecinct24
 424208, 427547, 556852, 443148, 424208, 541013, 458987,   3339, 984161, 692395,SouthfieldPrecinct23
